Check Number        Amount              Date
466961              516.26              01/04
466963              714.27              01/04
466965              150.0               01/05
466975              3809.29             01/03
466977              782.02              01/04
466983              150.0               01/03
466984              160.0               01/04
466995              3651.08             01/03
466996              4819.6              01/03
466997              2700.0              01/03
467000              192.61              01/04
467003              1409.62             01/04
467004              15000.0             01/04
467011              562.26              01/05
467015              943.05              01/04
467018              523.87              01/18
467020              361.95              01/09
467028              5441.78             01/03
467039              1426.41             01/09
467041              500.0               01/04
467044              5820.0              01/06
467045              600.0               01/04
467049              5820.0              01/06
467069              1980.0              01/17
467081              798.0               01/09
467084              1200.0              01/11
467089              5000.0              01/11
467095              1474.18             01/12
467103              1895.0              01/10
467105              8000.0              01/09
467106              3000.0              01/04
467107              2000.0              01/04
467109              5000.0              01/09
467111              2288.0              01/11
467119              1720.0              01/11
467120              5019.74             01/12
467121              900.0               01/11
467122              2549.56             01/03
467129              4100.0              01/06
467131              5500.0              01/09
467135              8956.15             01/04
467137              3136.22             01/09
467143              5000.0              01/05
467144              9900.0              01/10
467159              537.6               01/11
467162              6678.85             01/10
467165              6897.06             01/11
467170              161.94              01/09
467178              1500.0              01/11
467181              5000.0              01/10
467184              1363.3              01/03
467194              5000.0              01/06
467195              8820.0              01/10
467198              4700.0              01/06
467203              950.0               01/03
467205              4000.0              01/06
467211              2540.36             01/06
467212              1872.13             01/09
467214              234.86              01/03
467217              3900.0              01/04
467224              10000.0             01/11
467226              1800.0              01/10
467227              2500.0              01/09
467229              1000.0              01/20
467230              5000.0              01/11
467232              1511.93             01/05
467233              4900.0              01/09
467234              2900.0              01/09
467235              3170.0              01/04
467236              1000.0              01/11
467240              17800.0             01/06
467246              1900.0              01/06
467251              862.4               01/11
467252              2000.0              01/11
467267              1715.0              01/09
467269              6000.0              01/06
467270              1950.0              01/06
467271              2707.26             01/04
467276              1000.0              01/09
467279              3200.0              01/03
467281              4000.0              01/11
467289              1158.0              01/04
467300              5207.43             01/06
467310              1000.0              01/18
467314              3500.0              01/18
467315              1000.0              01/11
467320              455.0               01/04
